ID	SEC_ID	FEATURE	STATE	ARTICLE
0207A219-2-014	49	errors;correct_συμφωνία;γένος	active	Η
0207A219-2-014	36	errors;κειμ;αναφορά_κλιτικό;αντ_κλ	active	το
0207A219-2-014	55	errors;correct_συμφωνία;πτώση	active	η
0207A219-2-014	59	errors;correct_συμφωνία;πτώση	active	ο
0207A219-2-014	35	errors;ορθ;πεζ	active	τη
0207A219-2-014	46	errors;αρθ;αορ;α-αντι	active	ενα
0207A219-2-014	33	errors;κειμ;συνδ;παρ-παρ	active	η
0207A219-2-014	64	errors;correct_συμφωνία;πτώση	active	το
0314A002-3-002	78	errors;correct_συμφωνία;πτώση	active	ενα
0314A002-3-002	82	errors;correct_συμφωνία;πτώση	active	το
0314A002-3-002	86	errors;correct_συμφωνία;πτώση	active	το
0314A002-3-002	90	errors;correct_συμφωνία;πτώση	active	η
0314A002-3-002	94	errors;correct_συμφωνία;πτώση	active	η
0314A002-3-002	98	errors;correct_συμφωνία;πτώση	active	τα
0314A002-3-002	102	errors;correct_συμφωνία;πτώση	active	η
0314A002-3-002	106	errors;correct_συμφωνία;πτώση	active	ενας
0314A002-3-002	108	errors;correct_συμφωνία;γένος	active	ο
0314A002-3-002	113	errors;correct_συμφωνία;πρόσωπο	active	το
0314A002-3-002	76	errors;στιξ;στ-παρ	active	ο
0937A702-2-011	40	errors;correct_συμφωνία;πτώση	active	τους
0937A702-2-011	44	errors;correct_συμφωνία;πτώση	active	ενα
0937A702-2-011	48	errors;correct_συμφωνία;πτώση	active	το
0937A702-2-011	52	errors;correct_συμφωνία;πτώση	active	μια
0626A008-3-021	4	errors;συμφ;σ-γεν	active	της
0626A008-3-021	45	errors;correct_συμφωνία;πρόσωπο	active	μια
0626A008-3-021	50	errors;correct_συμφωνία;πτώση	active	η
0626A008-3-021	54	errors;correct_συμφωνία;πτώση	active	ενας
0626A008-3-021	58	errors;correct_συμφωνία;πτώση	active	Η
0626A008-3-021	62	errors;correct_συμφωνία;αριθμός	active	ενας
0626A008-3-021	28	errors;πτω;πτω-αντ	active	η
0626A008-3-021	67	errors;correct_συμφωνία;πτώση	active	της
0626A008-3-021	71	errors;correct_συμφωνία;πτώση	active	ο
0626A008-3-021	75	errors;correct_συμφωνία;πτώση	active	τη
0626A008-3-021	79	errors;correct_συμφωνία;πτώση	active	το
0626A008-3-021	40	errors;συμφ;σ-γεν	active	της
0419B003-3-021	45	errors;correct_συμφωνία;πρόσωπο	active	το
0419B003-3-021	49	errors;correct_συμφωνία;πτώση	active	την
0419B003-3-021	53	errors;correct_συμφωνία;πτώση	active	η
0419B003-3-021	57	errors;correct_συμφωνία;πτώση	active	οι
0419B003-3-007	1	errors;τον;τ-παρ	active	ενα
0419B003-3-007	24	errors;correct_συμφωνία;πτώση	active	μια
0419B003-3-007	48	errors;correct_συμφωνία;πτώση	active	τα
0419B003-3-007	30	errors;συμφ;σ-γεν	active	το
0419B003-3-007	32	errors;συμφ;σ-γεν	active	το
0419B003-3-007	38	errors;γεν	active	το
0419B003-3-007	52	errors;correct_συμφωνία;πτώση	active	τα
0419B003-3-007	43	errors;γεν	active	το
0523A004-2-009	50	errors;correct_συμφωνία;γένος	active	ενα
0523A004-2-009	36	errors;τον;τ-παρ	active	ενα
0523A004-2-009	55	errors;correct_συμφωνία;πτώση	active	το
0523A004-2-009	58	errors;correct_συμφωνία;πρόσωπο	active	μια
0523A004-2-009	45	errors;κειμ;αναφορά_κλιτικό;αντ_κλ	active	της
0523A004-2-009	63	errors;correct_συμφωνία;αριθμός	active	ενα
0523A004-2-009	66	errors;correct_συμφωνία;πρόσωπο	active	το
0523A004-2-009	20	errors;ν	active	τη
0523A004-2-009	41	errors;συμφ;σ-γεν	active	του
0523A004-2-009	71	errors;correct_συμφωνία;πτώση	active	η
0523A004-2-009	21	errors;συμφ;σ-αρι	active	του
0523A004-2-009	75	errors;correct_συμφωνία;αριθμός	active	το
0523A004-2-009	32	errors;ορθ;ο-ορια_λεξ	active	τη
0207A204-3-001	77	errors;correct_συμφωνία;γένος	active	ενα
0207A204-3-001	87	errors;correct_συμφωνία;πτώση	active	ενα
0207A204-3-001	83	errors;correct_συμφωνία;πτώση	active	τα
0207A204-3-001	46	errors;συμφ;σ-γεν	active	της
0207A204-3-001	44	errors;correct_συμφωνία;πτώση	active	η
0207A204-3-001	6	errors;ορθ;ο-γραμ	active	τον
0207A204-3-001	51	errors;correct_συμφωνία;πτώση	active	μια
0207A204-3-001	90	errors;correct_συμφωνία;πτώση	active	μια
0207A204-3-001	55	errors;correct_συμφωνία;πτώση	active	η
0207A204-3-001	94	errors;correct_συμφωνία;γένος	active	ενας
0207A204-3-001	59	errors;correct_συμφωνία;πτώση	active	την
0207A204-3-001	63	errors;correct_συμφωνία;πτώση	active	η
0207A204-3-001	67	errors;correct_συμφωνία;πτώση	active	την
0207A204-3-001	71	errors;correct_συμφωνία;πτώση	active	ο
0207A204-3-001	75	errors;correct_συμφωνία;πτώση	active	την
0523A004-3-008	31	errors;correct_συμφωνία;πρόσωπο	active	το
0523A004-3-008	36	errors;correct_συμφωνία;πτώση	active	μια
0523A004-3-008	40	errors;correct_συμφωνία;πτώση	active	τα
0523A004-3-008	44	errors;correct_συμφωνία;πτώση	active	τα
0523A004-3-008	48	errors;correct_συμφωνία;πτώση	active	η
