ID	SEC_ID	FEATURE	STATE	ARTICLE
0207A219-2-014	36	errors;κειμ;αναφορά_κλιτικό;αντ_κλ	active	το
0207A219-2-014	35	errors;ορθ;πεζ	active	τη
0207A219-2-014	46	errors;αρθ;αορ;α-αντι	active	ενα
0207A219-2-014	33	errors;κειμ;συνδ;παρ-παρ	active	η
0314A002-3-002	76	errors;στιξ;στ-παρ	active	ο
0626A008-3-021	4	errors;συμφ;σ-γεν	active	της
0626A008-3-021	28	errors;πτω;πτω-αντ	active	η
0626A008-3-021	40	errors;συμφ;σ-γεν	active	της
0419B003-3-007	1	errors;τον;τ-παρ	active	ενα
0419B003-3-007	30	errors;συμφ;σ-γεν	active	το
0419B003-3-007	32	errors;συμφ;σ-γεν	active	το
0419B003-3-007	38	errors;γεν	active	το
0419B003-3-007	43	errors;γεν	active	το
0523A004-2-009	36	errors;τον;τ-παρ	active	ενα
0523A004-2-009	45	errors;κειμ;αναφορά_κλιτικό;αντ_κλ	active	της
0523A004-2-009	20	errors;ν	active	τη
0523A004-2-009	41	errors;συμφ;σ-γεν	active	του
0523A004-2-009	21	errors;συμφ;σ-αρι	active	του
0523A004-2-009	32	errors;ορθ;ο-ορια_λεξ	active	τη
0207A204-3-001	46	errors;συμφ;σ-γεν	active	της
0207A204-3-001	6	errors;ορθ;ο-γραμ	active	τον
0207B203-3-017	68	errors;συμφ;σ-αρι	active	του
0207A115-2-045	11	errors;ορθ;πεζ	active	η
0207A115-2-045	26	errors;τον	active	το
0523B002-3-013	34	errors;κειμ;αναφορά_κλιτικό;αντ_οφ	active	την
0523B001-3-030	51	errors;τον;τ-παρ	active	ενας
0523B001-3-030	64	errors;πτω;πτω-αντ	active	του
0207A219-1-022	20	errors;ορθ;ο-γραμ	active	τις
0207A115-2-044	35	errors;συμφ;σ-γεν	active	μια
0207A115-2-044	36	errors;συμφ;σ-γεν	active	η
0314A002-2-001	7	errors;κλιτ;κλ-προσ	active	της
0937A703-2-005	2	errors;συμφ;σ-γεν	active	τους
0937A703-2-005	22	errors;ορθ;ο-ορια_λεξ	active	η
0937A703-2-005	64	errors;συμφ;σ-γεν	active	τους
0937A703-2-005	43	errors;κειμ;αναφορά_κλιτικό;αντ_κλ	active	την
0523B001-3-032	5	errors;κλιτ;κλ-προσ	active	Το
0523B001-3-032	101	errors;τον;τ-παρ	active	ενα
0523B001-3-029	13	errors;ορθ;ο-γραμ	active	τον
0523B001-3-029	22	errors;ορθ;ο-ορια_λεξ	active	Η
0523B001-3-029	41	errors;τον;τ-παρ	active	ενα
0419B003-3-023	9	errors;συμφ;σ-αρι	active	του
0419B003-3-023	13	errors;συμφ;σ-αρι	active	του
0419B003-3-023	15	errors;συμφ;σ-γεν	active	τις
0419B003-3-023	34	errors;ορθ;ο-γραμ	active	τις
0419B003-3-023	70	errors;συμφ;σ-γεν	active	ενα
0419B003-3-023	69	errors;γεν	active	την
0626A008-3-023	21	errors;ορθ;ο-γραμ	active	τις
0937A702-2-011	19	errors;ορθ;ο-γραμ	active	τον
0937A702-2-011	12	errors;ορθ;ο-γραμ	active	τις
0419B003-3-007	66	errors;ν	active	το
0419B003-3-007	41	errors;συμφ;σ-αρι	active	τα
0419B003-3-007	49	errors;συμφ;σ-αρι	active	το
0419B003-3-021	15	errors;συμφ;σ-αρι	active	τα
0419B003-3-021	25	errors;ορθ;ο-γραμ	active	τις
0419B003-3-021	33	errors;ορθ;ο-γραμ	active	τις
0523A010-2-006	63	errors;συμφ;σ-γεν	active	του
0523B002-3-013	41	errors;πτω;πτω-υποκ	active	την
0523B002-3-013	33	errors;πτω;πτω-υποκ	active	την
0207A219-1-021	25	errors;συμφ;σ-γεν	active	το
0207A219-1-021	36	errors;συμφ;σ-γεν	active	το
0207A219-1-020	7	errors;συμφ;σ-γεν	active	της
0207A115-2-047	4	errors;ορθ;ο-γραμ	active	οι
0207A115-2-047	22	errors;ορθ;ο-γραμ	active	τον
0523A010-2-004	2	errors;ορθ;ο-γραμ	active	οι
0523B001-3-032	32	errors;τον;τ-παρ	active	ενα
0523B001-3-032	50	errors	active	η
0523B001-3-032	45	errors;κλιτ;κλ-προσ	active	τους
0523B002-3-011	88	errors;συμφ;σ-γεν	active	του
0523B002-3-011	89	errors;συμφ;σ-γεν	active	το
0523B002-3-011	47	errors;συμφ;σ-γεν	active	Το
0523B002-3-011	92	errors;συμφ;σ-γεν	active	του
0937A702-2-008	34	errors;ορθ;ο-γραμ	active	τις
0937A702-2-008	46	errors;ορθ;ο-γραμ	active	τις
0207A204-3-003	13	errors;συμφ;σ-αρι	active	του
0207A204-3-003	39	errors;κειμ;συνδ;παρ-αντι	active	η
0207B203-3-015	14	errors;ορθ;ο-γραμ	active	οι
0207B203-3-015	20	errors;ορθ;ο-γραμ	active	οι
0207B203-3-015	23	errors;ορθ;ο-γραμ	active	οι
0207B203-3-015	43	errors;ορθ;ο-γραμ	active	οι
0207B203-3-015	52	errors;ορθ;ο-γραμ	active	οι
0207B203-3-015	59	errors;ορθ;ο-γραμ	active	οι
0207B203-3-015	69	errors;ορθ;ο-γραμ	active	τις
1351A004-1-012	12	errors;συμφ;σ-πτω	active	ο
1351A004-1-012	16	errors;ορθ;ο-γραμ	active	τις
0207B203-3-028	44	errors;ορθ;ο-γραμ	active	τις
0523B001-3-029	26	errors;ορθ;ο-γραμ	active	η
0523B001-3-029	33	errors;ορθ;ο-γραμ	active	η
1349A007-3-007	41	errors;τον;τ-παρ	active	ενα
1349A007-3-007	32	errors;πτω;πτω-προθ_φραση	active	ο
1349A007-3-007	64	errors;ορθ;κεφ	active	Τα
0419B003-3-005	16	errors;ορθ;ο-γραμ	active	τη
0419B003-3-005	45	errors;αρθ;ορι;ο-προσ	active	ο
0207A115-1-037	36	errors;ορθ;ο-γραμ	active	τον
0207A115-1-037	20	errors;τον	active	το
0207A204-3-007	23	errors;συμφ;σ-γεν	active	της
0207A204-3-007	25	errors;συμφ;σ-γεν	active	το
0523B001-3-036	2	errors;ορθ;ο-γραμ	active	τον
0523B001-3-036	14	errors;συμφ;σ-αρι	active	του
0523B001-3-036	31	errors;τον;τ-παρ	active	ενα
0523B001-3-036	40	errors;συμφ;σ-αρι	active	του
0523A008-3-008	16	errors;ορθ;ο-γραμ	active	της
0419B003-3-001	10	errors;συμφ;σ-αρι	active	του
0207A219-2-012	3	errors;τον;τ-προσ	active	μιά
0419A004-1-007	22	errors;ορθ;ο-ορια_λεξ	active	μια
0419A004-1-007	37	errors;τον;τ-παρ	active	ενας
0419A004-1-007	42	errors;ορθ;ο-γραμ	active	τις
0207A219-1-024	27	errors;συμφ;σ-γεν	active	τους
0207A219-1-024	16	errors;συμφ;σ-γεν	active	το
0207A219-1-024	29	errors;κειμ;αναφορά_κλιτικό;αντ_κλ	active	τους
0207A115-2-042	9	errors;συμφ;σ-γεν	active	τους
